date,actif,prix,bande_basse,moyenne,bande_haute,decision,position,capital,quantite_detenue,prix_entree,pnl_pct,valeur_totale
2026-07-16 18:18:20 UTC,ETH/USD,1874.69,1865.95,1870.89,1875.83,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:19:15 UTC,ETH/USD,1874.75,1866.67,1871.33,1875.99,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:20:35 UTC,ETH/USD,1875.37,1867.13,1871.72,1876.32,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:21:16 UTC,ETH/USD,1876.01,1867.32,1872.08,1876.84,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:22:22 UTC,ETH/USD,1877.09,1867.18,1872.47,1877.75,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:23:17 UTC,ETH/USD,1876.52,1867.59,1872.86,1878.13,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:24:18 UTC,ETH/USD,1876.52,1868.3,1873.28,1878.25,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:25:24 UTC,ETH/USD,1876.51,1868.97,1873.67,1878.37,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:26:25 UTC,ETH/USD,1875.44,1869.81,1874.03,1878.25,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:27:19 UTC,ETH/USD,1875.79,1870.49,1874.33,1878.17,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:28:23 UTC,ETH/USD,1875.4,1870.99,1874.57,1878.15,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:29:16 UTC,ETH/USD,1874.71,1871.43,1874.76,1878.08,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:30:48 UTC,ETH/USD,1873.71,1871.83,1874.89,1877.95,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:31:16 UTC,ETH/USD,1873.71,1871.97,1874.93,1877.89,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:32:19 UTC,ETH/USD,1874.95,1872.21,1875.03,1877.85,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:33:19 UTC,ETH/USD,1873.75,1872.48,1875.13,1877.77,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:34:19 UTC,ETH/USD,1873.53,1872.67,1875.17,1877.67,HOLD,0.0,964.09,0.0,,,964.09
2026-07-16 18:35:26 UTC,ETH/USD,1871.98,1872.64,1875.17,1877.69,"ACHAT (bande basse touchée, 1872.64)",1,0.0,0.51449583,1871.98,,963.13
2026-07-16 18:36:21 UTC,ETH/USD,1872.25,1872.42,1875.12,1877.83,HOLD,1.0,0.0,0.51449583,1871.98,,963.26
2026-07-16 18:37:18 UTC,ETH/USD,1872.26,1871.73,1874.92,1878.12,HOLD,1.0,0.0,0.51449583,1871.98,,963.27
2026-07-16 18:38:19 UTC,ETH/USD,1871.78,1871.3,1874.78,1878.26,HOLD,1.0,0.0,0.51449583,1871.98,,963.02
2026-07-16 18:39:17 UTC,ETH/USD,1872.34,1871.02,1874.66,1878.3,HOLD,1.0,0.0,0.51449583,1871.98,,963.31
2026-07-16 18:40:36 UTC,ETH/USD,1871.28,1870.75,1874.51,1878.27,HOLD,1.0,0.0,0.51449583,1871.98,,962.77
2026-07-16 18:41:16 UTC,ETH/USD,1870.97,1870.26,1874.26,1878.25,HOLD,1.0,0.0,0.51449583,1871.98,,962.61
2026-07-16 18:42:21 UTC,ETH/USD,1871.79,1870.09,1873.93,1877.77,HOLD,1.0,0.0,0.51449583,1871.98,,963.03
2026-07-16 18:43:16 UTC,ETH/USD,1872.24,1870.0,1873.71,1877.43,HOLD,1.0,0.0,0.51449583,1871.98,,963.26
2026-07-16 18:44:19 UTC,ETH/USD,1872.26,1869.89,1873.48,1877.08,HOLD,1.0,0.0,0.51449583,1871.98,,963.27
2026-07-16 18:45:31 UTC,ETH/USD,1872.11,1869.9,1873.26,1876.62,HOLD,1.0,0.0,0.51449583,1871.98,,963.19
2026-07-16 18:46:18 UTC,ETH/USD,1872.06,1869.97,1873.1,1876.22,HOLD,1.0,0.0,0.51449583,1871.98,,963.17
2026-07-16 18:47:16 UTC,ETH/USD,1872.77,1870.04,1872.91,1875.77,HOLD,1.0,0.0,0.51449583,1871.98,,963.53
2026-07-16 18:48:20 UTC,ETH/USD,1873.19,1870.22,1872.76,1875.3,VENTE (retour à la moyenne atteint),0,962.78,0.0,,0.06,962.78
